name,province
Huyện Mai Sơn,Sơn La
Huyện Mang Thít,Vĩnh Long
Huyện Mang Yang,Gia Lai
Huyện M'Đrăk,Đắk Lắk
Huyện Mèo Vạc,Hà Giang
Huyện Mê Linh,Hà Nội
Huyện Minh Hóa,Quảng Bình
Huyện Minh Long,Quảng Ngãi
Huyện Mỏ Cày Bắc,Bến Tre
Huyện Mỏ Cày Nam,Bến Tre
Thành phố Móng Cái,Quảng Ninh
Huyện Mộ Đức,Quảng Ngãi
Huyện Mộc Châu,Sơn La
Huyện Mộc Hóa,Long An
Huyện Mù Căng Chải,Yên Bái
Huyện Mường Ảng,Điện Biên
Huyện Mường Chà,Điện Biên
Huyện Mường Khương,Lào Cai
Huyện Mường La,Sơn La
Huyện Mường Lát,Thanh Hóa
Thị xã Mường Lay,Điện Biên
Huyện Mường Nhé,Điện Biên
Huyện Mường Tè,Lai Châu
Huyện Mỹ Đức,Hà Nội
Huyện Mỹ Hào,Hưng Yên
Huyện Mỹ Lộc,Nam Định
Thành phố Mỹ Tho,Tiền Giang
Huyện Mỹ Tú,Sóc Trăng
Huyện Mỹ Xuyên,Sóc Trăng
Huyện Na Hang,Tuyên Quang
Huyện Na Rì,Bắc Kạn
Huyện Nam Đàn,Nghệ An
Thành phố Nam Định,Nam Định
Huyện Nam Đông,Thừa Thiên - Huế
Huyện Nam Giang,Quảng Nam
Huyện Nam Sách,Hải Dương
Huyện Nam Trà My,Quảng Nam
Huyện Nam Trực,Nam Định
Quận Nam Từ Liêm,Hà Nội
Huyện Năm Căn,Cà Mau
Huyện Nậm Pồ,Điện Biên
Huyện Nậm Nhùn,Lai Châu
Huyện Nga Sơn,Thanh Hóa
Thị xã Ngã Bảy,Hậu Giang
Thị xã Ngã Năm,Sóc Trăng
Huyện Ngân Sơn,Bắc Kạn
Huyện Nghi Lộc,Nghệ An
Huyện Nghi Xuân,Hà Tĩnh
Huyện Nghĩa Đàn,Nghệ An
Huyện Nghĩa Hành,Quảng Ngãi
Huyện Nghĩa Hưng,Nam Định
Thị xã Nghĩa Lộ,Yên Bái
Huyện Ngọc Hiển,Cà Mau
Huyện Ngọc Hồi,Kon Tum
Huyện Ngọc Lặc,Thanh Hóa
Quận Ngô Quyền,Hải Phòng
Quận Ngũ Hành Sơn,Đà Nẵng
Huyện Nguyên Bình,Cao Bằng
Thành phố Nha Trang,Khánh Hòa
Huyện Nhà Bè,TP Hồ Chí Minh
Huyện Nho Quan,Ninh Bình
Huyện Nhơn Trạch,Đồng Nai
Huyện Như Thanh,Thanh Hóa
Huyện Như Xuân,Thanh Hóa
Thành phố Ninh Bình,Ninh Bình
Huyện Ninh Giang,Hải Dương
Huyện Ninh Hải,Ninh Thuận
Thị xã Ninh Hòa,Khánh Hòa
Quận Ninh Kiều,Cần Thơ
Huyện Ninh Phước,Ninh Thuận
Huyện Ninh Sơn,Ninh Thuận
Huyện Nông Cống,Thanh Hóa
Huyện Nông Sơn,Quảng Nam
Huyện Núi Thành,Quảng Nam
Quận Ô Môn,Cần Thơ
Huyện Pác Nặm,Bắc Kạn
Thành phố Phan Rang-Tháp Chàm,Ninh Thuận
Thành phố Phan Thiết,Bình Thuận
Huyện Phong Điền,Thừa Thiên - Huế
Huyện Phong Điền,Cần Thơ
Huyện Phong Thổ,Lai Châu
Thị xã Phổ Yên,Thái Nguyên
Huyện Phú Bình,Thái Nguyên
Huyện Phú Giáo,Bình Dương
Huyện Phú Hòa,Phú Yên
Huyện Phú Lộc,Thừa Thiên - Huế
Huyện Phú Lương,Thái Nguyên
Quận Phú Nhuận,TP Hồ Chí Minh
Huyện Phú Ninh,Quảng Nam
Huyện Phú Quý,Bình Thuận
Huyện Phú Quốc,Kiên Giang
Huyện Phú Riềng,Bình Phước
Huyện Phú Tân,An Giang
Huyện Phú Tân,Cà Mau
Huyện Phú Thiện,Gia Lai
Thị xã Phú Thọ,Phú Thọ
Huyện Phú Vang,Thừa Thiên - Huế
Huyện Phú Xuyên,Hà Nội
Huyện Phù Cát,Bình Định
Huyện Phù Cừ,Hưng Yên
Huyện Phù Mỹ,Bình Định
Huyện Phù Ninh,Phú Thọ
Huyện Phù Yên,Sơn La
Thành phố Phủ Lý,Hà Nam
Huyện Phúc Thọ,Hà Nội
Thị xã Phúc Yên,Vĩnh Phúc
Huyện Phục Hòa,Cao Bằng
Huyện Phụng Hiệp,Hậu Giang
Thị xã Phước Long,Bình Phước
Huyện Phước Long,Bạc Liêu
Huyện Phước Sơn,Quảng Nam
Thành phố Pleiku,Gia Lai
Huyện Quan Hóa,Thanh Hóa
Huyện Quan Sơn,Thanh Hóa
Huyện Quản Bạ,Hà Giang
Huyện Quang Bình,Hà Giang
Huyện Quảng Điền,Thừa Thiên - Huế
Thành phố Quảng Ngãi,Quảng Ngãi
Huyện Quảng Ninh,Quảng Bình
Huyện Quảng Trạch,Quảng Bình
Thị xã Quảng Trị,Quảng Trị
Thị xã Quảng Yên,Quảng Ninh
Huyện Quảng Uyên,Cao Bằng
Huyện Quảng Xương,Thanh Hóa
Quận Quận 1,TP Hồ Chí Minh
Quận Quận 2,TP Hồ Chí Minh
Quận Quận 3,TP Hồ Chí Minh
Quận Quận 4,TP Hồ Chí Minh
Quận Quận 5,TP Hồ Chí Minh
Quận Quận 6,TP Hồ Chí Minh
Quận Quận 7,TP Hồ Chí Minh
Quận Quận 8,TP Hồ Chí Minh
Quận Quận 9,TP Hồ Chí Minh
Quận Quận 10,TP Hồ Chí Minh
Quận Quận 11,TP Hồ Chí Minh
Quận Quận 12,TP Hồ Chí Minh
Huyện Quế Phong,Nghệ An
Huyện Quế Sơn,Quảng Nam
Huyện Quế Võ,Bắc Ninh
Thành phố Quy Nhơn,Bình Định
Huyện Quốc Oai,Hà Nội
Huyện Quỳ Châu,Nghệ An
Huyện Quỳ Hợp,Nghệ An
Huyện Quỳnh Lưu,Nghệ An
Huyện Quỳnh Nhai,Sơn La
Huyện Quỳnh Phụ,Thái Bình
Thành phố Rạch Giá,Kiên Giang
Thành phố Sa Đéc,Đồng Tháp
Huyện Sa Pa,Lào Cai
Huyện Sa Thầy,Kon Tum
Thị xã Sầm Sơn,Thanh Hóa
Huyện Si Ma Cai,Lào Cai
Huyện Sìn Hồ,Lai Châu
Huyện Sóc Sơn,Hà Nội
Thành phố Sóc Trăng,Sóc Trăng
Thị xã Sông Cầu,Phú Yên
Thành phố Sông Công,Thái Nguyên
Huyện Sông Hinh,Phú Yên
Huyện Sông Lô,Vĩnh Phúc
Huyện Sông Mã,Sơn La
Huyện Sốp Cộp,Sơn La
Huyện Sơn Động,Bắc Giang
Huyện Sơn Dương,Tuyên Quang
Huyện Sơn Hà,Quảng Ngãi
Huyện Sơn Hòa,Phú Yên
Thành phố Sơn La,Sơn La
Thị xã Sơn Tây,Hà Nội
Huyện Sơn Tây,Quảng Ngãi
Huyện Sơn Tịnh,Quảng Ngãi
Quận Sơn Trà,Đà Nẵng
Huyện Tam Bình,Vĩnh Long
Huyện Tam Dương,Vĩnh Phúc
Huyện Tam Đảo,Vĩnh Phúc
Thành phố Tam Điệp,Ninh Bình
Huyện Tam Đường,Lai Châu
Thành phố Tam Kỳ,Quảng Nam
Huyện Tam Nông,Đồng Tháp
Huyện Tam Nông,Phú Thọ
Huyện Tánh Linh,Bình Thuận
Thành phố Tân An,Long An
Huyện Tân Biên,Tây Ninh
Quận Tân Bình,TP Hồ Chí Minh
Thị xã Tân Châu,An Giang
Huyện Tân Châu,Tây Ninh
Huyện Tân Hiệp,Kiên Giang
Huyện Tân Hồng,Đồng Tháp
Huyện Tân Hưng,Long An
Huyện Tân Kỳ,Nghệ An
Huyện Tân Lạc,Hoà Bình
Huyện Tân Phú,Đồng Nai
Quận Tân Phú,TP Hồ Chí Minh
Huyện Tân Phú Đông,Tiền Giang
Huyện Tân Phước,Tiền Giang
Huyện Tân Sơn,Phú Thọ
Huyện Tân Thành,Bà Rịa - Vũng Tàu
Huyện Tân Thạnh,Long An
Huyện Tân Trụ,Long An
Thị xã Tân Uyên,Bình Dương
Huyện Tân Uyên,Lai Châu
Huyện Tân Yên,Bắc Giang
Huyện Tây Giang,Quảng Nam
Huyện Tây Hòa,Phú Yên
Quận Tây Hồ,Hà Nội
Thành phố Tây Ninh,Tây Ninh
Huyện Tây Sơn,Bình Định
Huyện Tây Trà,Quảng Ngãi
Huyện Thạch An,Cao Bằng
Huyện Thạch Hà,Hà Tĩnh
Huyện Thạch Thành,Thanh Hóa
Huyện Thạch Thất,Hà Nội
Thành phố Thái Bình,Thái Bình
Thị xã Thái Hòa,Nghệ An
Thành phố Thái Nguyên,Thái Nguyên
Huyện Thái Thụy,Thái Bình
Huyện Than Uyên,Lai Châu
Huyện Thanh Ba,Phú Thọ
Huyện Thanh Bình,Đồng Tháp
Huyện Thanh Chương,Nghệ An
Huyện Thanh Hà,Hải Dương
Thành phố Thanh Hóa,Thanh Hóa
Quận Thanh Khê,Đà Nẵng
Huyện Thanh Liêm,Hà Nam
Huyện Thanh Miện,Hải Dương
Huyện Thanh Oai,Hà Nội
Huyện Thanh Sơn,Phú Thọ
Huyện Thanh Thủy,Phú Thọ
Huyện Thanh Trì,Hà Nội
Quận Thanh Xuân,Hà Nội
Huyện Thạnh Hóa,Long An
Huyện Thạnh Phú,Bến Tre
Huyện Thạnh Trị,Sóc Trăng
Huyện Tháp Mười,Đồng Tháp
Huyện Thăng Bình,Quảng Nam
Huyện Thiệu Hóa,Thanh Hóa
Huyện Thọ Xuân,Thanh Hóa
Huyện Thoại Sơn,An Giang
Huyện Thông Nông,Cao Bằng
Huyện Thống Nhất,Đồng Nai
Quận Thốt Nốt,Cần Thơ
Huyện Thới Bình,Cà Mau
Huyện Thới Lai,Cần Thơ
Thành phố Thủ Dầu Một,Bình Dương
Quận Thủ Đức,TP Hồ Chí Minh
Huyện Thủ Thừa,Long An
Thị xã Thuận An,Bình Dương
Huyện Thuận Bắc,Ninh Thuận
Huyện Thuận Châu,Sơn La
Huyện Thuận Nam,Ninh Thuận
Huyện Thuận Thành,Bắc Ninh
Huyện Thuỷ Nguyên,Hải Phòng
Huyện Thường Tín,Hà Nội
Huyện Thường Xuân,Thanh Hóa
Huyện Tiên Du,Bắc Ninh
Huyện Tiền Hải,Thái Bình
Huyện Tiên Lãng,Hải Phòng
Huyện Tiên Lữ,Hưng Yên
Huyện Tiên Phước,Quảng Nam
Huyện Tiên Yên,Quảng Ninh
Huyện Tiểu Cần,Trà Vinh
Huyện Tĩnh Gia,Thanh Hóa
Huyện Tịnh Biên,An Giang
Huyện Trà Bồng,Quảng Ngãi
Huyện Trà Cú,Trà Vinh
Huyện Trà Lĩnh,Cao Bằng
Huyện Trà Ôn,Vĩnh Long
Thành phố Trà Vinh,Trà Vinh
Huyện Trạm Tấu,Yên Bái
Huyện Tràng Định,Lạng Sơn
Huyện Trảng Bàng,Tây Ninh
Huyện Trảng Bom,Đồng Nai
Huyện Trấn Yên,Yên Bái
Huyện Trần Đề,Sóc Trăng
Huyện Trần Văn Thời,Cà Mau
Huyện Tri Tôn,An Giang
Huyện Triệu Phong,Quảng Trị
Huyện Triệu Sơn,Thanh Hóa
Huyện Trùng Khánh,Cao Bằng
Huyện Trực Ninh,Nam Định
Huyện Trường Sa,Khánh Hòa
Huyện Tủa Chùa,Điện Biên
Huyện Tuần Giáo,Điện Biên
Huyện Tu Mơ Rông,Kon Tum
Huyện Tuy An,Phú Yên
Huyện Tuy Đức,Đắk Nông
Thành phố Tuy Hòa,Phú Yên
Huyện Tuy Phong,Bình Thuận
Huyện Tuy Phước,Bình Định
Huyện Tuyên Hóa,Quảng Bình
Thành phố Tuyên Quang,Tuyên Quang
Huyện Tư Nghĩa,Quảng Ngãi
Huyện Tứ Kỳ,Hải Dương
Thị xã Từ Sơn,Bắc Ninh
Huyện Tương Dương,Nghệ An
Huyện U Minh,Cà Mau
Huyện U Minh Thượng,Kiên Giang
Thành phố Uông Bí,Quảng Ninh
Huyện Ứng Hòa,Hà Nội
Huyện Vạn Ninh,Khánh Hòa
Huyện Văn Bàn,Lào Cai
Huyện Văn Chấn,Yên Bái
Huyện Văn Giang,Hưng Yên
Huyện Vãn Lãng,Lạng Sơn
Huyện Văn Lâm,Hưng Yên
Huyện Văn Quan,Lạng Sơn
Huyện Văn Yên,Yên Bái
Huyện Vân Canh,Bình Định
Huyện Vân Đồn,Quảng Ninh
Huyện Vân Hồ,Sơn La
Thành phố Vị Thanh,Hậu Giang
Huyện Vị Thủy,Hậu Giang
Huyện Vị Xuyên,Hà Giang
Thành phố Việt Trì,Phú Thọ
Huyện Việt Yên,Bắc Giang
Thành phố Vinh,Nghệ An
Huyện Vĩnh Bảo,Hải Phòng
Thị xã Vĩnh Châu,Sóc Trăng
Huyện Vĩnh Cửu,Đồng Nai
Huyện Vĩnh Hưng,Long An
Huyện Vĩnh Linh,Quảng Trị
Thành phố Vĩnh Long,Vĩnh Long
Huyện Vĩnh Lộc,Thanh Hóa
Huyện Vĩnh Lợi,Bạc Liêu
Huyện Vĩnh Thạnh,Bình Định
Huyện Vĩnh Thạnh,Cần Thơ
Huyện Vĩnh Thuận,Kiên Giang
Huyện Vĩnh Tường,Vĩnh Phúc
Thành phố Vĩnh Yên,Vĩnh Phúc
Huyện Võ Nhai,Thái Nguyên
Huyện Vũ Quang,Hà Tĩnh
Huyện Vũ Thư,Thái Bình
Huyện Vụ Bản,Nam Định
Huyện Vũng Liêm,Vĩnh Long
Thành phố Vũng Tàu,Bà Rịa - Vũng Tàu
Huyện Xín Mần,Hà Giang
Huyện Xuân Lộc,Đồng Nai
Huyện Xuân Trường,Nam Định
Huyện Xuyên Mộc,Bà Rịa - Vũng Tàu
Huyện Ý Yên,Nam Định
Thành phố Yên Bái,Yên Bái
Huyện Yên Bình,Yên Bái
Huyện Yên Châu,Sơn La
Huyện Yên Dũng,Bắc Giang
Huyện Yên Định,Thanh Hóa
Huyện Yên Khánh,Ninh Bình
Huyện Yên Lạc,Vĩnh Phúc
Huyện Yên Lập,Phú Thọ
Huyện Yên Minh,Hà Giang
Huyện Yên Mô,Ninh Bình
Huyện Yên Mỹ,Hưng Yên
Huyện Yên Phong,Bắc Ninh
Huyện Yên Sơn,Tuyên Quang
Huyện Yên Thành,Nghệ An
Huyện Yên Thế,Bắc Giang
Huyện Yên Thủy,Hoà Bình
